element,category,frequency_in_category,copies,tissue
918140,644,3,44,Ileum
918140,646,3,36,ILN
918140,663,3,3,SPL
918141,637,1,50,BM
918142,637,2,61,BM
918143,657,2,49,MLN
918144,639,4,60,BM
918145,639,4,65,BM
918146,639,1,44,BM
918147,639,2,46,BM
918148,657,2,46,MLN
918149,645,2,45,Ileum
918149,648,1,6,ILN
918150,645,1,43,Ileum
918151,639,2,45,BM
918152,656,1,40,MLN
918153,163,1,39,Lung
918153,647,1,2,ILN
918153,648,1,14,ILN
918153,661,1,6,SPL
918154,642,1,39,Colon
918154,648,1,2,ILN
918155,154,3,42,Ileum
918155,155,2,31,Ileum
918155,156,2,5,Ileum
918155,160,1,2,Jejunum
918155,161,2,8,Jejunum
918155,643,2,12,Ileum
918155,644,3,21,Ileum
918155,645,1,1,Ileum
918155,649,3,24,Jejunum
918155,650,1,39,Jejunum
918155,651,2,3,Jejunum
918156,157,1,14,ILN
918156,644,1,24,Ileum
918157,645,2,47,Ileum
918158,637,3,45,BM
918159,655,1,37,MLN
918160,172,1,4,SPL
918160,640,1,31,Colon
918160,648,1,4,ILN
918161,157,2,36,ILN
918161,648,1,22,ILN
918162,656,1,33,MLN
918163,656,2,35,MLN
918164,656,1,33,MLN
918165,655,2,48,MLN
918166,655,1,33,MLN
918167,657,2,34,MLN
918168,655,1,29,MLN
918169,157,2,30,ILN
918169,646,1,9,ILN
918169,647,3,12,ILN
918170,165,1,28,Lung
918171,637,1,27,BM
918171,643,1,1,Ileum
918171,646,1,12,ILN
918171,649,1,1,Jejunum
918172,157,2,10,ILN
918172,646,7,73,ILN
918172,647,2,4,ILN
918172,648,4,16,ILN
918173,655,1,27,MLN
918174,651,1,25,Jejunum
918175,655,1,25,MLN
918176,657,1,25,MLN
918177,640,1,23,Colon
918177,649,2,8,Jejunum
918177,650,1,1,Jejunum
918177,651,1,2,Jejunum
918178,646,1,23,ILN
918179,657,1,10,MLN
918180,155,1,11,Ileum
918180,643,1,19,Ileum
918180,649,2,30,Jejunum
918180,650,1,8,Jejunum
918180,651,4,29,Jejunum
918181,657,1,2,MLN
918182,651,2,25,Jejunum
918183,655,1,23,MLN
918184,158,2,39,ILN
918185,648,2,26,ILN
918186,656,1,22,MLN
918187,151,1,21,Colon
918188,647,3,43,ILN
918189,656,1,21,MLN
918190,660,1,48,PBL
918191,656,1,21,MLN
918192,637,1,32,BM
918193,656,1,4,MLN
918194,640,2,22,Colon
918194,656,1,7,MLN
918195,641,2,28,Colon
918196,655,2,24,MLN
918197,157,1,10,ILN
918197,159,1,11,ILN
918197,646,1,20,ILN
918197,647,1,6,ILN
918198,655,1,12,MLN
918199,648,1,18,ILN
918199,656,1,20,MLN
918200,640,1,11,Colon
918201,638,1,9,BM
918202,655,1,9,MLN
918203,655,1,8,MLN
918204,656,1,19,MLN
918205,148,1,6,BM
918206,645,1,5,Ileum
918207,157,1,4,ILN
918207,646,1,4,ILN
918208,649,1,1,Jejunum
918208,650,1,1,Jejunum
918208,651,3,7,Jejunum
918209,647,1,2,ILN
918210,646,1,4,ILN
918211,646,1,2,ILN
918212,640,2,20,Colon
918213,646,1,2,ILN
918214,656,1,2,MLN
